beer_id,beer_name,name,use,time,amount,amount_is_weight,notes
nosferatu-clone-1,[u'Nosferatu Clone'],[u'Whirlfloc Tablet'],[u'Boil'],[u'15.0'],[u'1.0'],[u'false'],"[u'A blend of Irish Moss and purified Kappa carrageenan that encourages the precipitation of haze causing materials such as proteins and Beta glucans. Prepared in a quick dissolving, highly soluble tablet form.']"
programmers-elbow-2,"[u""Programmer's Elbow""]",[],[],[],[],[],[]
campfire-kolsch,[u'Campfire Kolsch'],[u'Whirlfloc Tablet'],[u'Boil'],[u'15.0'],[u'1.0'],[u'false'],"[u'A blend of Irish Moss and purified Kappa carrageenan that encourages the precipitation of haze causing materials such as proteins and Beta glucans. Prepared in a quick dissolving, highly soluble tablet form.']"
its-maibock-too-yeah,"[u""It's Maibock Too, Yeah!!!""]",[u'Whirlfloc Tablet'],[u'Boil'],[u'10.0'],[u'1.0'],[u'false'],"[u'A blend of Irish Moss and purified Kappa carrageenan that encourages the precipitation of haze causing materials such as proteins and Beta glucans. Prepared in a quick dissolving, highly soluble tablet form.']"
ezs-biab-american-brown-ale,"[u""EZ's BIAB American Brown Ale""]",[u'Whirlfloc Tablet'],[u'Boil'],[u'45.0'],[u'1.0'],[u'false'],"[u'A blend of Irish Moss and purified Kappa carrageenan that encourages the precipitation of haze causing materials such as proteins and Beta glucans. Prepared in a quick dissolving, highly soluble tablet form.']"
banana-nut-beer-3,[u'Banana Nut Beer'],[],[],[],[],[],[]
grapefruit-gose-wild-ab638f,[u'Grapefruit Gose Wild'],[u'Coriander Seed'],[u'Boil'],[u'10.0'],[u'0.5'],[u'false'],[]
single-hop-ipa-sorachi-ace-scaled,[u'Single Hop IPA - Sorachi Ace - Scaled'],[u'Whirlfloc Tablet'],[u'Boil'],[u'15.0'],[u'1.0'],[u'false'],"[u'A blend of Irish Moss and purified Kappa carrageenan that encourages the precipitation of haze causing materials such as proteins and Beta glucans. Prepared in a quick dissolving, highly soluble tablet form.']"
summer-shandy-4,[u'Summer Shandy'],[u'Irish Moss'],[u'Boil'],[u'15.0'],[u'1.0'],[u'false'],[]
brooklyn-brewshop-jalapeno-saison,[u'Brooklyn Brewshop Jalapeno Saison'],"[u'Jalepenos, diced']",[u'Boil'],[u'10.0'],[u'1.0'],[u'false'],[]
noble-trappist-ale-midwest-supplies-kit,[u'Noble Trappist Ale (Midwest Supplies Kit)'],[],[],[],[],[],[]
booths-brewing-supply-old-rasputin-clone,"[u""Booth's Brewing Supply Old Rasputin clone""]",[u'Irish Moss'],[u'Boil'],[u'15.0'],[u'1.0'],[u'false'],[]
hoppiness-is-an-ipa-palmer-et-al,[u'Hoppiness is an IPA (Palmer et al)'],[],[],[],[],[],[]
single-hop-amarillo-ipa,[u'Single Hop Amarillo IPA'],[],[],[],[],[],[]
chinook-ipa-30,[u'Chinook IPA'],[],[],[],[],[],[]
baptism-pale-ale-mk1,[u'Baptism Pale Ale mk1'],[u'Irish Moss'],[u'Boil'],[u'15.0'],[u'1.0'],[u'false'],[]
out-of-touch-oatemeal-stout,[u'Out of Touch Oatemeal Stout'],[],[],[],[],[],[]
party-dog-sierra-nevada-pa-clone,[u'Party Dog (Sierra Nevada PA clone)'],[u'Whirlfloc Tablet'],[u'Boil'],[u'15.0'],[u'1.0'],[u'false'],"[u'A blend of Irish Moss and purified Kappa carrageenan that encourages the precipitation of haze causing materials such as proteins and Beta glucans. Prepared in a quick dissolving, highly soluble tablet form.']"
daves-first-cider,"[u""Dave's first cider""]",[u'Pectic Enzyme'],[u'Primary'],[u'2.0'],[u'4.0'],[u'false'],[]
red-ipa-46,[u'Red IPA'],[u'Whirlfloc Tablet'],[u'Boil'],[u'15.0'],[u'1.0'],[u'false'],"[u'A blend of Irish Moss and purified Kappa carrageenan that encourages the precipitation of haze causing materials such as proteins and Beta glucans. Prepared in a quick dissolving, highly soluble tablet form.']"
dammit-dan-stout,[u'Dammit Dan Stout'],[u'Chocolate (Dark)'],[u'Secondary'],[u'4.0'],[u'2.0'],[u'false'],[]
