beer_id,beer_name,name,origin,_type,_yield,amount,potential,color,add_after_boil,coarse_fine_diff,moisture,diastatic_power,protein,max_in_batch,recommend_mash,ibu_gal_per_lb,notes
armageddon-oatmeal-stout,[u'Armageddon Oatmeal Stout'],[u'Roast Barley'],[],[u'Roasted Malt'],[u'64.78082487583676'],[u'0.17009713875000002'],[u'1.03'],[u'550'],[],[],[],[],[],[],[],[],[]
summer-pils-7,[u'Summer Pils'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
summer-pils-7,[u'Summer Pils'],[u'Dry Malt Extract - Pilsen'],[],[u'Dry Extract'],[u'90.69315482617145'],[u'2.9483504050000002'],[u'1.042'],[u'2'],[],[],[],[],[],[],[],[],[]
40th-birthday-pale-ale,[u'40th Birthday Pale Ale'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
40th-birthday-pale-ale,[u'40th Birthday Pale Ale'],[u'Golden Light DME'],[u'United States'],[u'Dry Extract'],[u'92.852515655366'],[u'2.7215542200000002'],[u'1.043'],[u'4'],[],[],[],[],[],[],[],[],[]
40th-birthday-pale-ale,[u'40th Birthday Pale Ale'],[u'Caramel Malt 10L'],[u'United States'],[u'Caramel/Crystal Malt'],[u'73.41826819261497'],[u'0.45359237'],[u'1.034'],[u'10'],[],[],[],[],[],[],[],[],[]
40th-birthday-pale-ale,[u'40th Birthday Pale Ale'],[u'Vienna Malt'],[u'United States'],[u'Kilned Malt'],[u'75.57762902180954'],[u'0.226796185'],[u'1.035'],[u'3'],[],[],[],[],[],[],[],[],[]
adams-coors-light-light,"[u'Adam\'s ""Coors Light Light""']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
adams-coors-light-light,"[u'Adam\'s ""Coors Light Light""']",[u'Pilsner Malt'],[],[u'Base Malt'],[u'79.89635068019865'],[u'4.535923700000001'],[u'1.037'],[u'1'],[],[],[],[],[],[],[],[],[]
adams-coors-light-light,"[u'Adam\'s ""Coors Light Light""']","[u'Corn, Flaked']",[],[u'Adjunct'],[u'79.89635068019865'],[u'2.2679618500000003'],[u'1.037'],[u'1'],[],[],[],[],[],[],[],[],[]
adams-coors-light-light,"[u'Adam\'s ""Coors Light Light""']",[u'Melanoidin Malt'],[],[u'Kilned Malt'],[u'79.89635068019865'],[u'0.45359237'],[u'1.037'],[u'26'],[],[],[],[],[],[],[],[],[]
saison-lion,[u'Saison Lion'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
saison-lion,[u'Saison Lion'],[u'Pilsner'],[u'United States'],[u'Base Malt'],[u'79.89635068019865'],[u'3.175142813955013'],[u'1.037'],[u'1'],[],[],[],[],[],[],[],[],[]
saison-lion,[u'Saison Lion'],"[u'Wheat Malt, White']",[u'United States'],[u'Adjunct'],[u'84.21507233858777'],[u'0.45359183056500185'],[u'1.039'],[u'2'],[],[],[],[],[],[],[],[],[]
saison-lion,[u'Saison Lion'],[u'Honey Malt'],[u'Canada'],[u'Caramel/Crystal Malt'],[u'79.89635068019865'],[u'0.45359183056500185'],[u'1.037'],[u'23'],[],[],[],[],[],[],[],[],[]
holiday-ale-modified-bb-kit,[u'Holiday Ale (Modified BB Kit)'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
holiday-ale-modified-bb-kit,[u'Holiday Ale (Modified BB Kit)'],[u'Dry Malt Extract - Light'],[],[u'Dry Extract'],[u'90.69315482617145'],[u'3.17514659'],[u'1.042'],[u'4'],[],[],[],[],[],[],[],[],[]
holiday-ale-modified-bb-kit,[u'Holiday Ale (Modified BB Kit)'],[u'Dextrose (Corn Sugar)'],[],[u'Sugar'],[u'99.33059814294968'],[u'0.45359237'],[u'1.046'],[u'0'],[],[],[],[],[],[],[],[],[]
holiday-ale-modified-bb-kit,[u'Holiday Ale (Modified BB Kit)'],[u'Caramel/Crystal 80L (US)'],[],[u'Caramel/Crystal Malt'],[u'71.25890736342042'],[u'0.34019427750000003'],[u'1.033'],[u'80'],[],[],[],[],[],[],[],[],[]
holiday-ale-modified-bb-kit,[u'Holiday Ale (Modified BB Kit)'],[u'Black Patent (UK)'],[],[u'Roasted Malt'],[u'58.30274238825307'],[u'0.226796185'],[u'1.027'],[u'525'],[],[],[],[],[],[],[],[],[]
amber-117,[u'Amber'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
amber-117,[u'Amber'],[u'2-Row (US)'],[],[u'Base Malt'],[u'79.89635068019865'],[u'2.2679618500000003'],[u'1.037'],[u'1'],[],[],[],[],[],[],[],[],[]
amber-117,[u'Amber'],[u'Carapils (Dextrine Malt) (US)'],[],[u'Adjunct'],[u'71.25890736342042'],[u'0.226796185'],[u'1.033'],[u'1'],[],[],[],[],[],[],[],[],[]
amber-117,[u'Amber'],[u'Caramel/Crystal 60L (US)'],[],[u'Caramel/Crystal Malt'],[u'73.41826819261497'],[u'0.17009713875000002'],[u'1.034'],[u'60'],[],[],[],[],[],[],[],[],[]
amber-117,[u'Amber'],[u'Crystal 40L (CA)'],[],[u'Caramel/Crystal Malt'],[u'73.41826819261497'],[u'0.1133980925'],[u'1.034'],[u'40'],[],[],[],[],[],[],[],[],[]
german-pilsner-3-1,[u'German Pilsner#3'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
german-pilsner-3-1,[u'German Pilsner#3'],[u'Pilsner'],[],[u'Base Malt'],[u'79.89635068019865'],[u'4.1'],[u'1.037'],[u'1'],[],[],[],[],[],[],[],[],[]
high-sierra-pale-ale-2,[u'High Sierra Pale Ale'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
high-sierra-pale-ale-2,[u'High Sierra Pale Ale'],[u'Golden Light LME'],[u'United States'],[u'Liquid Extract'],[u'79.89635068019865'],[u'3.005045877493135'],[u'1.037'],[u'4'],[],[],[],[],[],[],[],[],[]
high-sierra-pale-ale-2,[u'High Sierra Pale Ale'],[u'Caramel Malt 20L'],[u'United States'],[u'Caramel/Crystal Malt'],[u'73.41826819261497'],[u'0.22679591528250093'],[u'1.034'],[u'20'],[],[],[],[],[],[],[],[],[]
ill-dunkel-your-weizen,"[u""I'll Dunkel Your Weizen""]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
ill-dunkel-your-weizen,"[u""I'll Dunkel Your Weizen""]",[u'Liquid Malt Extract - Wheat'],[],[u'Liquid Extract'],[u'75.57762902180954'],[u'1.81436948'],[u'1.035'],[u'3'],[],[],[],[],[],[],[],[],[]
ill-dunkel-your-weizen,"[u""I'll Dunkel Your Weizen""]",[u'Liquid Malt Extract - Munich'],[],[u'Liquid Extract'],[u'75.57762902180954'],[u'1.3607771100000001'],[u'1.035'],[u'8'],[],[],[],[],[],[],[],[],[]
2014-brewers-cup-robust-porter-i-american,"[u""2014 BREWER'S CUP - ROBUST PORTER I  - AMERICAN""]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
2014-brewers-cup-robust-porter-i-american,"[u""2014 BREWER'S CUP - ROBUST PORTER I  - AMERICAN""]",[u'Pale 2-Row (US)'],[],[u'Base Malt'],[u'79.89635068019865'],[u'2.2679618500000003'],[u'1.037'],[u'1'],[],[],[],[],[],[],[],[],[]
